
> node-web@0.0.0 start /home/inigo/workspace/Web/web_fin_grado
> node ./bin/www

[ '1509223693', '29.25000000000000000000' ]
[ '1509223696', '29.25000000000000000000' ]
[ '1509223666', '29.25000000000000000000' ]
[ '1509223680', '29.25000000000000000000' ]
[ '1509223684', '29.25000000000000000000' ]
[ '1509223686', '29.25000000000000000000' ]
[ '1509223636', '29.50000000000000000000' ]
[ '1509223638', '29.50000000000000000000' ]
[ '1509223641', '29.50000000000000000000' ]
[ '1509223698', '29.25000000000000000000' ]
[ '1509223707', '29.25000000000000000000' ]
[ '1509223725', '29.25000000000000000000' ]
[ '1509223736', '29.25000000000000000000' ]
[ '1509223757', '29.25000000000000000000' ]
[ '1509223771', '29.00000000000000000000' ]
[ '1509223823', '29.00000000000000000000' ]
[ '1509223789', '29.00000000000000000000' ]
[ '1509223807', '29.00000000000000000000' ]
[ '1509223882', '28.75000000000000000000' ]
[ '1509223896', '28.75000000000000000000' ]
[ '1509223898', '28.75000000000000000000' ]
[ '1509223830', '29.00000000000000000000' ]
[ '1509223832', '29.00000000000000000000' ]
[ '1509223837', '29.00000000000000000000' ]
[ '1509223839', '29.00000000000000000000' ]
[ '1509223864', '29.00000000000000000000' ]
[ '1509223866', '29.00000000000000000000' ]
[ '1509223955', '28.75000000000000000000' ]
[ '1509223984', '28.75000000000000000000' ]
[ '1509223900', '28.75000000000000000000' ]
[ '1509223923', '28.75000000000000000000' ]
[ '1509223925', '28.75000000000000000000' ]
[ '1509223948', '28.75000000000000000000' ]
[ '1509223950', '28.75000000000000000000' ]
[ '1509224000', '28.50000000000000000000' ]
[ '1509224002', '28.50000000000000000000' ]
[ '1509224100', '28.50000000000000000000' ]
[ '1509224064', '28.50000000000000000000' ]
[ '1509224075', '28.50000000000000000000' ]
[ '1509224086', '28.50000000000000000000' ]
[ '1509224089', '28.50000000000000000000' ]
[ '1509224007', '28.50000000000000000000' ]
[ '1509224025', '28.50000000000000000000' ]
[ '1509224027', '28.50000000000000000000' ]
[ '1509224041', '28.50000000000000000000' ]
[ '1509224118', '28.25000000000000000000' ]
[ '1509224123', '28.25000000000000000000' ]
[ '1509224125', '28.25000000000000000000' ]
[ '1509224127', '28.25000000000000000000' ]
[ '1509224141', '28.25000000000000000000' ]
[ '1509224152', '28.25000000000000000000' ]
[ '1509224155', '28.25000000000000000000' ]
[ '1509224157', '28.25000000000000000000' ]
[ '1509224102', '28.50000000000000000000' ]
[ '1509224180', '28.25000000000000000000' ]
[ '1509224168', '28.25000000000000000000' ]
[ '1509224171', '28.25000000000000000000' ]
[ '1509224175', '28.25000000000000000000' ]
[ '1509224207', '28.25000000000000000000' ]
[ '1509224210', '28.25000000000000000000' ]
[ '1509224244', '28.25000000000000000000' ]
[ '1509224246', '28.25000000000000000000' ]
[ '1509224248', '28.00000000000000000000' ]
[ '1509224372', '28.00000000000000000000' ]
[ '1509224384', '28.00000000000000000000' ]
[ '1509224402', '28.00000000000000000000' ]
[ '1509224297', '28.00000000000000000000' ]
[ '1509224306', '28.00000000000000000000' ]
[ '1509224317', '28.00000000000000000000' ]
[ '1509224324', '28.00000000000000000000' ]
[ '1509224342', '28.00000000000000000000' ]
[ '1509224256', '28.00000000000000000000' ]
[ '1509224464', '27.75000000000000000000' ]
[ '1509224482', '27.75000000000000000000' ]
[ '1509224493', '27.75000000000000000000' ]
[ '1509224434', '27.75000000000000000000' ]
[ '1509224443', '27.75000000000000000000' ]
[ '1509224405', '28.00000000000000000000' ]
[ '1509224580', '27.50000000000000000000' ]
[ '1509224537', '27.75000000000000000000' ]
[ '1509224555', '27.50000000000000000000' ]
[ '1509224640', '27.50000000000000000000' ]
[ '1509224645', '27.50000000000000000000' ]
[ '1509224626', '27.50000000000000000000' ]
[ '1509224629', '27.50000000000000000000' ]
[ '1509224631', '27.50000000000000000000' ]
[ '1509224649', '27.50000000000000000000' ]
[ '1509224582', '27.50000000000000000000' ]
[ '1509224596', '27.50000000000000000000' ]
[ '1509224603', '27.50000000000000000000' ]
[ '1509224707', '27.50000000000000000000' ]
[ '1509224709', '27.50000000000000000000' ]
[ '1509224729', '27.50000000000000000000' ]
